price,location,area,property_age,bedrooms,bathrooms,furnishing,parking,air_conditioning,main_road
34699448,Mumbai,1260,7,3,3,Semi-Furnished,0,Yes,No
10383331,Nagpur,1638,23,3,3,Semi-Furnished,0,No,No
3608073,Solapur,530,1,2,1,Semi-Furnished,1,Yes,No
16051155,Nashik,2724,21,1,2,Unfurnished,0,Yes,Yes
19746578,Thane,1147,26,1,1,Unfurnished,2,Yes,No
7212386,Solapur,1375,2,3,2,Unfurnished,0,Yes,No
3999372,Solapur,1046,17,1,1,Semi-Furnished,0,No,No
9757977,Kolhapur,1763,6,4,3,Unfurnished,0,No,No
35575318,Mumbai,1175,13,3,3,Semi-Furnished,0,Yes,No
7596920,Kolhapur,1421,3,2,2,Semi-Furnished,1,No,No
10556183,Aurangabad,1900,25,3,2,Unfurnished,1,Yes,Yes
5733374,Solapur,1215,22,3,2,Unfurnished,0,Yes,Yes
15110277,Nagpur,2743,17,1,1,Fully Furnished,2,No,No
7282079,Nagpur,1163,28,4,1,Unfurnished,2,No,Yes
3032982,Kolhapur,464,8,1,3,Unfurnished,0,Yes,No
12146643,Kolhapur,2098,4,3,1,Fully Furnished,1,No,No
47778760,Thane,2678,27,2,1,Unfurnished,2,No,Yes
27065506,Mumbai,902,23,3,2,Unfurnished,0,No,Yes
12667488,Kolhapur,2546,26,4,2,Unfurnished,2,Yes,Yes
24387216,Pune,1885,4,3,1,Fully Furnished,1,Yes,No
5478236,Nashik,902,26,3,2,Fully Furnished,0,No,No
9539380,Kolhapur,1884,31,3,3,Unfurnished,2,Yes,No
12603228,Pune,963,22,1,2,Unfurnished,2,No,Yes
7201616,Kolhapur,1459,21,1,3,Semi-Furnished,1,Yes,No
8881920,Solapur,1997,5,1,1,Semi-Furnished,1,No,No
71117093,Mumbai,2438,32,4,1,Fully Furnished,0,Yes,No
9832663,Aurangabad,1800,12,3,2,Unfurnished,0,Yes,Yes
9032247,Nagpur,1834,32,1,2,Unfurnished,2,No,No
45283999,Mumbai,1657,31,4,3,Fully Furnished,0,No,No
54489991,Thane,2889,1,4,2,Semi-Furnished,2,Yes,Yes
57303670,Mumbai,2036,1,1,1,Semi-Furnished,1,Yes,Yes
60317098,Mumbai,2159,18,1,1,Fully Furnished,1,No,No
18873319,Pune,1553,31,1,2,Fully Furnished,1,No,No
11758759,Thane,602,16,4,3,Unfurnished,2,No,Yes
4133701,Kolhapur,693,33,4,1,Semi-Furnished,1,Yes,Yes
12043030,Solapur,2591,5,1,1,Fully Furnished,0,Yes,Yes
9856374,Solapur,2194,18,4,3,Semi-Furnished,1,Yes,No
60739513,Mumbai,2134,32,4,1,Fully Furnished,2,No,Yes
50021549,Thane,2785,10,4,1,Unfurnished,0,No,No
29276029,Pune,2187,1,4,2,Unfurnished,0,Yes,Yes
46552767,Mumbai,1727,31,2,1,Unfurnished,2,Yes,No
11702719,Aurangabad,2082,19,4,3,Semi-Furnished,1,Yes,Yes
28134128,Pune,2096,7,4,3,Semi-Furnished,1,No,No
90156844,Mumbai,2957,24,1,3,Fully Furnished,0,No,No
11264017,Solapur,2319,1,2,2,Unfurnished,1,Yes,No
4168722,Solapur,560,13,4,1,Fully Furnished,0,Yes,Yes
7669045,Kolhapur,1215,2,4,3,Unfurnished,0,No,No
6454555,Solapur,1354,21,3,2,Fully Furnished,1,Yes,Yes
9456849,Solapur,2093,7,2,2,Unfurnished,2,Yes,Yes
32877426,Pune,2731,4,3,1,Unfurnished,0,Yes,Yes
7077796,Kolhapur,1215,16,3,3,Semi-Furnished,1,Yes,No
7767258,Pune,580,32,3,3,Semi-Furnished,2,Yes,No
16151061,Nashik,2700,32,1,3,Unfurnished,2,No,Yes
25811490,Pune,2158,2,2,2,Semi-Furnished,1,Yes,No
14231299,Pune,1025,21,4,3,Semi-Furnished,2,Yes,Yes
47078460,Mumbai,1809,32,2,1,Unfurnished,0,No,Yes
12647519,Thane,645,28,4,3,Unfurnished,1,No,Yes
39540322,Mumbai,1320,6,4,1,Semi-Furnished,0,Yes,No
3092506,Solapur,435,7,1,1,Semi-Furnished,1,Yes,Yes
18349228,Nagpur,2918,1,3,2,Fully Furnished,2,No,No
61514817,Mumbai,2382,24,2,3,Fully Furnished,1,No,Yes
17085377,Nagpur,2761,5,2,2,Fully Furnished,2,No,No
8010637,Nagpur,1477,32,3,1,Semi-Furnished,0,No,No
6651519,Solapur,1391,34,4,2,Fully Furnished,2,No,Yes
3545081,Kolhapur,668,29,2,2,Fully Furnished,2,Yes,No
8189793,Aurangabad,1481,25,3,2,Semi-Furnished,0,No,Yes
10270475,Solapur,2253,8,3,3,Semi-Furnished,0,No,Yes
10590631,Nagpur,1541,0,4,1,Fully Furnished,0,No,Yes
5575976,Kolhapur,1103,21,3,1,Fully Furnished,0,No,Yes
36994086,Thane,2079,21,3,1,Semi-Furnished,0,No,Yes
19476033,Pune,1643,29,1,3,Semi-Furnished,1,Yes,Yes
28474346,Pune,2157,9,1,3,Semi-Furnished,1,Yes,No
81765830,Mumbai,2889,4,4,1,Semi-Furnished,0,Yes,No
8009313,Aurangabad,1295,19,4,3,Semi-Furnished,1,No,Yes
14463347,Kolhapur,2827,11,1,1,Unfurnished,2,Yes,No
20083425,Pune,1466,12,4,1,Unfurnished,2,No,Yes
49851198,Thane,2946,22,2,3,Unfurnished,0,No,No
12251823,Kolhapur,2025,6,2,2,Fully Furnished,1,Yes,No
11781016,Nashik,2049,28,1,3,Semi-Furnished,0,No,Yes
11337748,Kolhapur,2292,34,1,3,Fully Furnished,1,Yes,No
9123912,Nashik,1408,31,3,3,Unfurnished,0,Yes,Yes
12083944,Kolhapur,2726,29,1,3,Semi-Furnished,0,Yes,No
70044044,Mumbai,2509,21,4,1,Fully Furnished,0,No,No
4944999,Nagpur,795,18,1,1,Semi-Furnished,0,Yes,Yes
78746713,Mumbai,2902,30,4,2,Fully Furnished,2,Yes,No
9932903,Pune,795,20,1,3,Unfurnished,0,Yes,Yes
32094448,Thane,1567,13,1,3,Unfurnished,2,Yes,Yes
6417241,Solapur,1150,9,4,1,Unfurnished,1,No,Yes
18758592,Nashik,2939,6,1,1,Fully Furnished,1,Yes,Yes
9770569,Nashik,1617,18,1,1,Semi-Furnished,0,Yes,No
38291634,Thane,2256,6,2,1,Fully Furnished,0,No,Yes
27558877,Pune,2210,26,1,2,Unfurnished,1,Yes,No
14162378,Nagpur,2281,2,3,3,Semi-Furnished,0,No,No
19930137,Pune,1481,0,4,1,Semi-Furnished,2,No,Yes
29640430,Pune,2396,24,4,2,Unfurnished,0,No,Yes
9305455,Kolhapur,1652,18,4,3,Semi-Furnished,0,No,Yes
17317143,Nashik,2494,13,1,1,Semi-Furnished,2,Yes,No
11231869,Pune,870,11,1,3,Fully Furnished,1,Yes,No
25533041,Thane,1367,7,2,1,Semi-Furnished,1,Yes,No
4599521,Solapur,939,26,4,1,Semi-Furnished,1,Yes,Yes
8588073,Nagpur,1624,19,1,1,Unfurnished,0,Yes,Yes
12905298,Nagpur,1981,5,3,1,Unfurnished,1,Yes,Yes
7572997,Pune,655,24,1,3,Semi-Furnished,1,Yes,No
7715450,Solapur,1415,0,1,2,Fully Furnished,1,Yes,No
11983321,Thane,623,10,3,1,Semi-Furnished,0,No,Yes
32351488,Mumbai,1088,33,1,1,Fully Furnished,0,Yes,Yes
5680201,Aurangabad,910,5,1,1,Fully Furnished,0,No,No
54244081,Mumbai,1860,9,3,1,Fully Furnished,1,Yes,No
8194094,Thane,482,13,1,1,Unfurnished,0,No,Yes
37857179,Mumbai,1280,27,4,2,Semi-Furnished,2,No,Yes
55358110,Mumbai,1974,33,2,2,Semi-Furnished,1,Yes,No
4628134,Aurangabad,667,4,1,2,Unfurnished,1,Yes,No
6785638,Aurangabad,1162,22,1,1,Fully Furnished,2,Yes,Yes
32650765,Pune,2522,33,3,3,Fully Furnished,1,Yes,No
11470626,Nashik,1729,29,2,2,Semi-Furnished,2,Yes,Yes
30527325,Thane,1731,32,1,2,Unfurnished,2,No,Yes
18288241,Pune,1419,16,2,3,Fully Furnished,0,Yes,Yes
6942759,Solapur,1753,33,1,1,Unfurnished,1,No,Yes
63279167,Mumbai,2500,10,2,1,Unfurnished,2,No,Yes
14653137,Kolhapur,2542,15,3,2,Unfurnished,0,Yes,Yes
39212232,Thane,2287,28,3,3,Fully Furnished,1,No,Yes
8605574,Nagpur,1428,21,2,2,Fully Furnished,0,Yes,No
12548447,Solapur,2680,33,4,2,Semi-Furnished,0,Yes,No
15595449,Nagpur,2696,21,3,1,Fully Furnished,2,No,No
28009260,Thane,1479,16,2,3,Unfurnished,1,Yes,Yes
4497599,Kolhapur,702,13,3,2,Unfurnished,1,No,Yes
3407640,Nagpur,427,23,3,2,Fully Furnished,1,Yes,No
36320647,Thane,2046,17,3,2,Fully Furnished,1,No,Yes
10769826,Solapur,2306,27,3,1,Fully Furnished,1,Yes,No
10565278,Solapur,2533,24,2,2,Semi-Furnished,0,No,No
44253799,Thane,2472,2,4,2,Unfurnished,0,Yes,No
3677394,Kolhapur,510,7,2,2,Semi-Furnished,0,No,Yes
16922495,Nashik,2872,25,1,2,Unfurnished,1,Yes,No
12453112,Nashik,2389,32,1,1,Semi-Furnished,0,No,Yes
33582922,Pune,2724,3,2,2,Fully Furnished,1,No,Yes
36894226,Thane,2030,8,4,3,Unfurnished,2,Yes,No
12332346,Thane,642,23,3,1,Semi-Furnished,2,Yes,No
4934258,Aurangabad,474,5,4,3,Semi-Furnished,1,No,Yes
12183981,Nagpur,2029,1,4,2,Semi-Furnished,2,No,No
18330835,Nagpur,2620,5,4,1,Fully Furnished,1,No,No
8143757,Kolhapur,1541,19,4,3,Unfurnished,0,No,No
14491189,Kolhapur,2448,10,2,2,Fully Furnished,2,Yes,No
49725877,Thane,2426,5,3,1,Unfurnished,1,No,Yes
13015893,Nashik,2073,12,4,2,Fully Furnished,1,No,Yes
12130870,Nagpur,2019,8,1,3,Semi-Furnished,0,No,Yes
12864902,Nagpur,2438,30,3,2,Semi-Furnished,0,No,Yes
9516885,Solapur,2004,13,2,2,Fully Furnished,0,Yes,No
9618802,Kolhapur,1970,28,1,2,Unfurnished,2,Yes,Yes
22949877,Thane,1272,29,1,2,Semi-Furnished,2,No,No
7336257,Pune,477,3,2,2,Semi-Furnished,0,Yes,Yes
12872052,Nagpur,2172,17,2,1,Unfurnished,2,No,Yes
52871938,Thane,2869,14,1,3,Unfurnished,0,No,Yes
